id,class,cap-color,does-bruise-or-bleed,stem-height
3650,e,n,f,5.33
3651,e,k,f,4.31
3652,p,n,f,4.01
3653,e,n,f,3.86
3654,p,n,f,6.46
3655,p,g,f,4.62
3656,e,n,f,6.54
3657,e,o,f,5.47
3658,p,e,f,4.86
3659,p,o,f,5.24
3660,e,n,f,4.67
3661,e,w,f,8.05
3662,p,n,f,4.47
3663,e,w,f,18.76
3664,e,l,f,7.51
3665,p,n,f,9.78
3666,p,y,f,5.73
3667,p,n,f,3.56
3668,e,o,t,4.77
3669,p,y,f,8.28
3670,p,o,f,5.99
3671,e,g,f,2.62
3672,e,n,f,4.47
3673,e,n,f,5.96
3674,e,b,f,7.17
3675,e,e,f,4.42
3676,e,b,f,5.45
3677,e,n,t,7.8
3678,p,w,t,3.76
3679,p,e,f,7.25
3680,e,n,f,4.94
3681,p,w,f,13.81
3682,e,n,f,5.4
3683,p,n,t,5.36
3684,e,u,f,4.09
3685,e,n,t,7.96
3686,e,n,f,6.06
3687,p,n,f,5.79
3688,p,e,f,5.88
3689,p,n,f,15.96
3690,p,n,f,6.09
3691,p,y,t,4.09
3692,p,n,f,4.38
3693,e,n,f,7.03
3694,p,y,f,6.17
3695,p,o,f,3.17
3696,p,n,t,6.28
3697,p,p,t,7.25
3698,e,n,f,7.86
3699,e,n,f,5.06
3700,p,y,f,6.02
3701,e,n,f,9.27
3702,e,y,f,7.79
3703,p,u,f,4.23
3704,p,e,t,6.19
3705,p,k,f,3.62
3706,p,g,f,9.82
3707,p,n,f,1.89
3708,p,n,f,5.65
3709,p,n,f,9.02
3710,p,o,f,4.33
3711,e,n,f,3.87
3712,e,n,t,8.35
3713,e,l,f,2.68
3714,p,n,f,8.4
3715,p,y,f,6.93
3716,e,w,f,7.79
3717,e,n,t,9.62
3718,e,n,f,5.42
3719,e,k,f,4.45
3720,p,y,f,8.52
3721,e,w,f,3.7
3722,e,n,f,6.35
3723,e,w,f,7.22
3724,e,n,f,4.21
3725,p,g,f,11.28
3726,e,n,f,5.22
3727,e,n,f,5.06
3728,p,y,f,5.38
3729,p,n,f,3.51
3730,e,n,f,6.88
3731,e,k,f,5.16
3732,p,n,f,5.51
3733,e,k,f,5.21
3734,p,n,f,6.31
3735,e,g,f,4.98
3736,e,g,f,8.72
3737,p,n,f,5.86
3738,e,b,f,6.95
3739,p,y,f,9.0
3740,p,e,t,7.01
3741,e,n,f,6.31
3742,e,l,f,7.1
3743,e,p,f,6.82
3744,e,y,f,6.23
3745,p,g,f,8.98
3746,p,y,f,6.24
3747,e,n,f,7.33
3748,p,r,t,4.74
3749,e,w,f,2.78
3750,p,k,f,3.7
3751,p,k,f,5.94
3752,p,n,f,4.29
3753,e,w,f,29.34
3754,p,n,f,4.78
3755,p,w,t,7.23
3756,e,n,f,5.55
3757,e,y,t,7.53
3758,e,g,f,5.05
3759,p,e,f,7.83
3760,e,n,f,5.46
3761,p,w,f,3.55
3762,p,g,t,5.05
3763,e,w,f,2.25
3764,e,u,f,4.42
3765,e,w,f,20.65
3766,p,e,f,2.75
3767,p,n,f,4.72
3768,p,g,f,2.55
3769,p,n,f,6.21
3770,p,k,f,8.28
3771,p,e,f,3.93
3772,e,n,f,5.25
3773,e,o,f,9.92
3774,e,b,f,6.27
3775,p,n,f,15.76
3776,e,y,f,6.0
3777,e,n,f,7.12
3778,e,y,f,5.62
3779,e,n,f,5.28
3780,p,o,f,1.33
3781,p,e,t,6.35
3782,p,o,f,5.5
3783,p,y,f,9.36
3784,e,u,f,6.28
3785,e,n,f,5.65
3786,e,g,f,3.71
3787,p,e,t,6.15
3788,e,w,f,3.61
3789,e,o,f,6.26
3790,e,n,f,12.62
3791,p,n,f,7.15
3792,p,n,f,7.73
3793,p,e,f,5.67
3794,p,n,f,8.51
3795,e,w,f,7.07
3796,e,e,t,5.47
3797,p,g,f,3.93
3798,e,y,f,4.98
3799,e,o,f,5.8
3800,p,n,f,10.71
3801,e,w,f,7.89
3802,e,w,t,6.28
3803,e,w,f,21.72
3804,p,u,f,5.5
3805,e,o,f,6.36
3806,e,o,f,6.24
3807,e,y,f,8.02
3808,e,w,t,7.48
3809,p,u,f,5.75
3810,p,y,f,3.69
3811,p,n,f,5.93
3812,e,n,t,9.07
3813,p,u,f,6.52
3814,p,e,f,4.46
3815,p,b,f,4.99
3816,p,y,f,5.99
3817,e,y,f,6.28
3818,p,y,f,5.95
3819,p,y,f,9.43
3820,p,n,f,10.11
3821,p,y,t,6.2
3822,p,y,f,9.66
3823,e,w,t,5.23
3824,p,n,f,3.54
3825,p,n,f,4.5
3826,p,o,f,6.11
3827,e,n,f,5.13
3828,p,y,f,7.3
3829,e,n,f,7.89
3830,p,y,f,7.01
3831,e,y,f,5.39
3832,p,n,f,8.08
3833,p,k,f,9.76
3834,e,o,f,5.1
3835,p,p,t,7.05
3836,e,p,f,5.75
3837,e,n,t,5.8
3838,p,y,f,6.59
3839,e,n,f,6.7
3840,e,l,f,8.02
3841,p,y,f,7.06
3842,e,n,f,4.88
3843,e,n,f,4.85
3844,p,n,f,3.73
3845,p,o,f,6.23
3846,e,e,f,7.81
3847,p,e,t,7.31
3848,e,n,f,6.65
3849,p,r,f,6.28
3850,e,e,t,6.01
3851,e,y,f,6.45
3852,p,p,f,5.55
3853,e,n,f,6.57
3854,e,n,f,12.71
3855,p,w,f,4.24
3856,e,n,f,5.7
3857,p,o,t,4.19
3858,e,g,f,6.66
3859,p,n,f,4.6
3860,e,n,f,4.16
3861,p,w,f,5.71
3862,p,n,f,17.83
3863,e,n,t,5.58
3864,p,w,f,3.57
3865,e,w,f,20.97
3866,e,w,f,7.79
3867,p,r,f,5.4
3868,p,n,f,4.48
3869,e,w,f,3.48
3870,e,n,f,5.93
3871,p,g,t,4.72
3872,e,g,f,2.7
3873,p,g,f,7.77
3874,e,n,f,6.09
3875,e,e,t,6.16
3876,p,g,f,6.24
3877,p,y,f,5.79
3878,e,n,t,7.21
3879,e,n,f,5.36
3880,e,k,f,3.75
3881,p,y,f,3.31
3882,e,n,f,6.91
3883,p,n,f,3.17
3884,p,n,f,4.93
3885,p,o,f,5.78
3886,p,k,f,8.45
3887,e,n,f,4.64
3888,p,n,f,4.96
3889,e,y,f,5.87
3890,p,w,f,14.0
3891,e,w,f,5.05
3892,e,w,f,12.0
3893,e,n,f,6.84
3894,p,n,f,6.3
3895,p,n,f,8.15
3896,e,n,f,5.97
3897,p,w,t,5.88
3898,p,n,f,3.64
3899,e,y,t,6.89
3900,e,k,f,4.77
3901,p,y,f,8.2
3902,p,y,f,4.73
3903,e,n,t,9.28
3904,p,o,f,3.63
3905,p,n,f,11.59
3906,p,n,f,8.61
3907,e,o,t,6.68
3908,e,n,f,11.72
3909,e,e,f,8.91
3910,e,n,t,6.03
3911,e,g,f,6.09
3912,p,e,f,8.49
3913,p,y,f,10.51
3914,e,n,t,9.64
3915,p,e,f,6.56
3916,p,w,f,3.94
3917,p,y,f,6.12
3918,p,k,f,3.59
3919,p,y,f,6.49
3920,e,y,f,4.85
3921,p,n,f,7.03
3922,p,n,t,4.27
3923,p,u,f,3.71
3924,p,n,f,5.43
3925,e,n,t,6.17
3926,p,y,t,7.08
3927,p,w,f,3.25
3928,p,o,f,16.89
3929,e,w,f,3.7
3930,e,o,f,6.4
3931,p,w,f,7.28
3932,p,n,f,9.24
3933,p,e,f,4.16
3934,e,n,t,8.27
3935,p,n,f,9.94
3936,e,n,f,6.63
3937,e,n,f,12.31
3938,p,e,f,9.4
3939,e,n,f,4.43
3940,p,n,f,4.85
3941,p,o,f,6.07
3942,e,n,f,4.62
3943,e,g,f,8.39
3944,p,w,f,3.07
3945,e,w,f,11.13
3946,p,y,f,6.11
3947,p,y,f,5.04
3948,p,n,f,9.03
3949,p,y,f,5.82
3950,p,n,f,3.98
3951,p,p,f,4.27
3952,p,g,f,5.59
3953,p,n,f,7.59
3954,e,y,f,7.94
3955,p,p,f,4.09
3956,e,e,f,7.16
3957,e,n,f,5.97
3958,p,u,t,8.34
3959,e,k,f,9.21
3960,p,u,f,3.84
3961,p,n,f,5.63
3962,e,n,t,9.37
3963,p,n,f,3.23
3964,p,o,t,3.13
3965,e,n,f,6.21
3966,e,y,t,6.25
3967,e,b,f,5.97
3968,p,e,f,4.43
3969,e,e,t,4.83
3970,p,y,f,3.7
3971,e,n,f,7.23
3972,p,o,f,4.72
3973,p,n,f,6.94
3974,e,n,f,5.43
3975,p,e,f,5.03
3976,p,y,f,5.8
3977,p,n,f,4.72
3978,p,n,f,7.54
3979,e,u,f,4.83
3980,e,n,f,9.35
3981,p,n,f,3.61
3982,p,p,t,8.53
3983,e,n,t,9.67
3984,p,u,f,6.4
3985,p,n,f,1.46
3986,e,g,f,5.35
3987,e,n,f,9.53
3988,p,o,f,3.61
3989,e,n,f,4.67
3990,p,n,f,5.63
3991,p,e,f,4.74
3992,e,u,f,6.81
3993,p,o,f,17.76
3994,e,w,f,5.01
3995,p,n,f,4.72
3996,e,n,f,4.75
3997,p,y,f,5.77
3998,e,p,t,5.48
3999,e,w,t,10.01
4000,p,n,t,3.83
4001,p,n,f,5.6
4002,p,e,f,13.72
4003,e,n,t,7.31
4004,p,e,f,16.63
4005,e,n,f,12.15
4006,e,b,f,7.03
4007,e,n,f,5.59
4008,p,n,f,5.11
4009,p,p,f,4.78
4010,p,e,t,5.32
4011,e,n,f,7.07
4012,p,w,t,8.05
4013,e,w,f,14.97
4014,p,n,f,5.88
4015,e,o,f,7.0
4016,e,n,f,4.11
4017,e,n,f,4.81
4018,p,y,f,8.05
4019,p,e,f,4.98
4020,p,n,f,5.3
4021,p,w,t,8.28
4022,p,y,f,4.86
4023,e,n,f,7.05
4024,e,e,f,6.66
4025,p,n,f,4.58
4026,p,w,f,3.93
4027,p,y,f,3.94
4028,e,w,f,3.55
4029,p,n,f,4.72
4030,e,n,t,8.05
4031,p,k,f,5.39
4032,e,o,t,6.0
4033,p,o,f,10.75
4034,p,n,f,9.94
4035,p,g,f,4.97
4036,p,e,f,6.78
4037,e,n,f,5.32
4038,p,e,t,7.0
4039,p,n,f,8.83
4040,p,y,t,6.67
4041,p,n,f,4.58
4042,e,e,f,4.54
4043,p,r,f,10.73
4044,e,o,f,6.11
4045,p,u,f,5.17
4046,e,y,f,8.54
4047,p,w,f,8.42
4048,e,n,f,6.78
4049,p,n,f,5.61
4050,e,u,f,5.91
4051,p,n,f,5.93
4052,p,w,f,13.86
4053,e,y,f,7.24
4054,p,e,t,5.77
4055,p,w,f,2.59
4056,p,n,f,4.66
4057,p,r,t,5.92
4058,p,y,f,4.93
4059,e,n,f,5.82
4060,e,n,f,5.97
4061,e,w,t,5.99
4062,p,n,f,6.01
4063,e,n,f,9.47
4064,p,y,f,4.87
4065,p,n,f,7.09
4066,p,y,f,9.28
4067,e,n,f,8.12
4068,p,e,f,8.02
4069,p,n,f,7.32
4070,e,w,f,5.31
4071,p,n,t,4.39
4072,p,y,f,7.26
4073,p,n,f,5.64
4074,p,w,f,3.22
4075,p,k,f,7.91
4076,p,e,f,4.48
4077,p,p,f,4.84
4078,e,n,f,5.03
4079,p,o,f,4.96
4080,p,n,f,5.28
4081,p,n,f,7.88
4082,p,n,f,15.11
4083,p,y,f,8.56
4084,p,n,f,7.87
4085,e,n,f,7.29
4086,p,o,t,3.99
4087,p,y,f,5.85
4088,e,n,t,8.61
4089,e,y,f,6.59
4090,p,k,f,3.45
4091,e,k,f,5.56
4092,e,n,f,4.71
4093,e,n,t,9.71
4094,e,w,f,3.8
4095,p,r,f,5.02
4096,e,n,t,6.75
4097,p,g,f,2.92
4098,p,g,t,5.62
4099,e,y,f,7.01
4100,e,n,t,7.13
4101,e,o,t,6.36
4102,e,n,f,9.27
4103,p,o,f,4.66
4104,e,n,t,8.1
4105,p,e,f,6.54
4106,p,o,t,4.44
4107,p,e,f,4.54
4108,e,o,f,9.16
4109,e,n,f,5.84
4110,e,n,f,6.46
4111,e,w,t,5.92
4112,e,g,f,4.73
4113,e,n,f,4.97
4114,e,n,f,8.73
4115,e,n,f,4.62
4116,p,n,f,4.57
4117,e,g,f,4.62
4118,p,n,f,3.81
4119,e,n,f,6.14
4120,p,g,f,8.44
4121,e,l,f,2.47
4122,e,n,f,4.78
4123,e,n,f,6.29
4124,p,u,f,6.02
4125,p,w,f,11.89
4126,e,l,f,2.38
4127,p,p,t,8.6
4128,e,n,f,7.25
4129,p,o,t,3.56
4130,p,n,t,7.18
4131,p,n,f,11.2
4132,p,u,f,3.86
4133,p,n,f,10.44
4134,p,n,f,5.67
4135,p,y,f,9.65
4136,p,n,f,5.28
4137,e,n,f,5.99
4138,p,p,t,4.66
4139,p,k,f,3.86
4140,p,n,f,5.75
4141,p,k,f,3.59
4142,e,o,f,5.72
4143,p,w,t,8.63
4144,p,o,f,3.75
4145,p,k,f,4.24
4146,p,n,f,4.77
4147,e,n,f,5.92
4148,e,w,f,8.22
4149,e,w,t,11.28
4150,e,b,f,6.2
4151,p,n,f,5.54
4152,e,n,t,5.9
4153,p,k,f,7.91
4154,p,u,f,5.24
4155,e,n,f,4.11
4156,p,n,f,5.02
4157,p,n,f,3.91
4158,p,y,f,3.05
4159,e,n,f,7.23
4160,p,n,t,5.9
4161,p,r,f,10.9
4162,e,n,f,4.59
4163,e,e,t,5.09
4164,p,u,f,6.24
4165,e,w,f,6.17
4166,p,o,f,7.78
4167,p,g,f,9.25
4168,e,w,f,8.8
4169,e,y,f,8.47
4170,e,n,f,8.34
4171,e,n,t,9.01
4172,p,n,f,7.11
4173,p,o,f,4.51
4174,p,o,f,6.58
4175,e,u,f,4.61
4176,e,y,f,2.11
4177,p,p,t,7.63
4178,p,p,t,8.32
4179,p,e,t,6.62
4180,e,o,f,6.35
4181,p,o,t,4.54
4182,p,e,f,4.06
4183,p,u,f,6.25
4184,p,n,t,8.76
4185,e,n,f,5.96
4186,e,y,f,7.78
4187,e,n,f,6.31
4188,p,n,f,4.34
4189,e,n,f,6.2
4190,e,n,f,6.51
4191,e,n,f,4.8
4192,p,w,f,2.71
4193,p,w,f,13.22
4194,e,o,f,5.3
4195,e,o,f,7.04
4196,e,n,f,6.28
4197,p,n,t,6.95
4198,p,n,f,4.92
4199,p,p,f,5.02
4200,p,n,f,6.12
4201,e,n,f,6.84
4202,p,u,f,4.52
4203,e,e,f,8.36
4204,e,n,f,5.84
4205,e,n,f,4.55
4206,e,g,f,7.05
4207,p,e,f,6.81
4208,p,y,f,4.63
4209,p,k,f,3.48
4210,e,y,t,9.5
4211,p,e,f,7.76
4212,p,o,f,3.63
4213,e,n,f,6.96
4214,e,n,f,6.37
4215,p,r,f,4.93
4216,p,p,t,7.68
4217,e,y,f,5.68
4218,p,n,f,5.45
4219,p,o,f,5.76
4220,p,g,f,5.24
4221,p,n,f,9.28
4222,p,e,f,3.45
4223,e,b,f,6.43
4224,p,g,t,4.67
4225,e,w,f,14.36
4226,p,n,f,5.14
4227,e,w,f,21.37
4228,p,n,f,12.07
4229,e,p,f,3.83
4230,e,g,f,4.93
4231,p,y,f,3.25
4232,p,w,f,13.0
4233,p,n,f,6.99
4234,e,n,f,7.61
4235,e,r,f,4.78
4236,e,n,f,7.05
4237,p,n,f,5.43
4238,p,p,t,5.88
4239,p,n,t,8.28
4240,e,n,f,7.12
4241,p,y,t,5.38
4242,e,o,f,7.85
4243,p,e,f,3.75
4244,e,w,f,3.94
4245,e,n,f,6.92
4246,e,g,f,6.62
4247,p,n,f,7.14
4248,p,w,f,12.44
4249,e,g,f,5.57
4250,p,k,f,10.25
4251,e,n,f,6.14
4252,e,e,t,5.61
4253,p,l,f,4.92
4254,e,y,f,9.16
4255,p,n,f,9.4
4256,e,n,f,3.98
4257,e,n,f,9.34
4258,p,n,f,1.74
4259,p,n,f,4.17
4260,e,n,f,7.64
4261,e,y,t,8.45
4262,p,y,f,6.58
4263,e,n,f,5.7
4264,e,o,f,9.68
4265,p,e,f,4.51
4266,e,l,f,2.48
4267,e,n,f,13.51
4268,p,u,t,8.89
4269,p,o,f,4.96
4270,p,w,f,3.54
4271,p,o,f,3.11
4272,p,n,f,6.08
4273,p,o,t,4.49
4274,p,g,f,4.98
4275,p,n,f,5.53
4276,p,y,t,8.07
4277,e,n,f,8.24
4278,p,g,t,4.85
4279,e,n,f,12.1
4280,e,n,f,13.12
4281,e,n,t,10.07
4282,p,n,f,5.97
4283,e,n,f,4.25
4284,e,n,t,5.68
4285,p,n,f,8.65
4286,e,g,f,5.7
4287,p,r,f,11.86
4288,p,n,f,4.85
4289,e,w,f,3.29
4290,p,n,f,5.92
4291,p,r,f,1.48
4292,e,k,f,7.21
4293,e,y,f,8.4
4294,p,w,f,2.61
4295,p,y,f,3.27
4296,p,n,f,11.7
4297,p,y,f,5.05
4298,p,o,f,4.07
4299,e,g,f,10.12
4300,e,g,f,5.06
4301,p,n,f,5.57
4302,e,n,f,6.85
4303,p,o,t,4.44
4304,e,n,f,5.18
4305,e,n,t,5.29
4306,e,n,f,7.32
4307,e,w,f,7.53
4308,e,n,f,5.76
4309,p,o,f,11.17
4310,e,n,f,6.41
4311,p,o,t,5.35
4312,p,n,f,5.53
4313,p,n,f,6.64
4314,e,y,f,5.62
4315,e,n,f,6.63
4316,p,o,f,4.48
4317,e,n,f,4.38
4318,e,o,f,5.15
4319,p,n,f,10.21
4320,e,n,f,14.74
4321,e,n,f,3.89
4322,p,n,f,6.55
4323,e,g,t,3.98
4324,p,o,f,4.11
4325,e,w,f,8.02
4326,e,y,f,5.62
4327,e,p,f,6.58
4328,e,n,f,4.18
4329,p,n,f,3.65
4330,p,n,f,4.74
4331,p,e,t,7.25
4332,p,n,f,5.93
4333,e,n,f,5.05
4334,p,n,f,5.33
4335,p,k,f,7.05
4336,p,p,f,4.27
4337,p,w,f,4.21
4338,e,n,t,11.98
4339,p,l,f,5.53
4340,e,n,f,4.84
4341,p,n,f,5.59
4342,e,n,f,6.79
4343,e,n,f,6.52
4344,p,r,f,10.56
4345,p,w,f,5.64
4346,p,w,f,2.64
4347,e,n,f,4.79
4348,e,n,t,8.82
4349,p,n,f,7.1
4350,e,b,f,4.88
4351,e,n,f,7.5
4352,p,y,f,7.08
4353,p,n,f,3.13
4354,e,n,f,5.74
4355,e,y,f,6.66
4356,e,r,f,4.62
4357,e,n,f,4.94
4358,p,n,f,4.21
4359,e,n,t,8.4
4360,e,n,t,7.29
4361,p,n,t,5.62
4362,p,r,t,4.72
4363,p,e,f,5.51
4364,e,w,f,4.54
4365,p,n,f,3.8
4366,p,n,f,10.31
4367,p,r,t,4.6
4368,e,o,t,6.2
4369,p,y,f,6.31
4370,p,o,f,2.91
4371,e,w,f,19.37
4372,e,n,t,5.71
4373,p,n,f,10.71
4374,e,n,f,6.25
4375,p,e,t,7.08
4376,p,e,f,6.35
4377,p,w,f,15.47
4378,e,n,f,6.17
4379,p,y,f,10.18
4380,e,n,f,5.57
4381,e,n,t,9.06
4382,p,n,f,14.01
4383,e,n,f,12.65
4384,p,n,f,3.86
4385,p,p,t,6.27
4386,p,y,f,2.85
4387,e,n,f,6.48
4388,p,r,t,6.0
4389,p,n,f,5.65
4390,e,y,f,5.64
4391,p,n,f,10.1
4392,p,n,f,5.43
4393,p,n,f,10.33
4394,e,u,f,3.99
4395,p,y,f,3.56
4396,p,n,t,4.45
4397,p,y,f,5.15
4398,p,n,f,1.98
4399,e,g,f,4.09
4400,p,u,f,5.1
4401,p,g,f,2.75
4402,p,n,f,4.36
4403,p,y,f,1.85
4404,e,n,t,9.01
4405,e,y,f,5.61
4406,e,g,f,4.69
4407,p,r,f,5.93
4408,p,b,f,4.46
4409,p,e,f,4.37
4410,e,n,f,5.99
4411,e,n,t,12.24
4412,p,y,f,4.59
4413,e,n,f,5.55
4414,p,n,f,8.25
4415,p,y,f,6.02
4416,p,g,t,4.56
4417,p,y,f,3.4
4418,p,e,f,8.28
4419,p,p,t,8.55
4420,p,y,f,4.79
4421,e,g,f,7.59
4422,e,b,f,4.89
4423,p,g,f,5.5
4424,p,n,f,11.02
4425,e,n,t,10.95
4426,p,n,f,4.3
4427,e,w,t,5.99
4428,e,n,f,5.72
4429,e,g,f,5.06
4430,e,b,f,5.98
4431,e,n,f,6.35
4432,p,n,f,9.27
4433,p,y,f,5.09
4434,p,e,f,3.69
4435,p,w,f,19.83
4436,e,b,f,2.69
4437,p,e,f,5.77
4438,p,n,f,5.56
4439,e,y,f,7.69
4440,e,p,f,4.62
4441,e,n,f,8.16
4442,e,n,f,5.6
4443,e,w,f,3.43
4444,p,r,t,6.68
4445,e,b,f,6.18
4446,p,n,f,4.09
4447,p,g,f,5.43
4448,p,y,f,3.44
4449,e,n,f,6.46
4450,e,w,f,3.28
4451,e,n,t,4.67
4452,p,n,f,7.58
4453,p,w,f,3.76
4454,p,n,f,4.04
4455,p,w,f,9.47
4456,e,n,f,5.8
4457,e,w,f,3.37
4458,e,g,f,7.19
4459,p,n,f,6.28
4460,e,n,f,5.41
4461,e,n,f,6.71
4462,p,o,f,4.76
4463,p,n,f,4.74
4464,p,e,t,5.39
4465,p,w,f,12.76
4466,p,n,f,8.38
4467,p,y,f,5.19
4468,e,y,f,7.58
4469,e,n,f,5.02
4470,p,y,f,5.61
4471,p,n,f,3.28
4472,p,o,t,4.66
4473,p,e,f,4.42
4474,e,n,f,6.33
4475,e,w,f,3.49
4476,e,y,f,3.44
4477,e,n,f,7.16
4478,p,n,f,2.09
4479,p,n,f,4.37
4480,p,u,f,7.04
4481,p,n,f,12.81
4482,e,w,t,6.23
4483,p,y,f,5.54
4484,p,p,t,6.95
4485,e,n,f,5.12
4486,p,y,f,3.25
4487,e,e,f,4.83
4488,e,w,f,3.99
4489,p,n,f,9.68
4490,p,n,f,13.61
4491,p,g,t,4.94
4492,e,n,t,6.64
4493,p,n,f,4.68
4494,e,n,t,10.73
4495,e,n,f,5.68
4496,p,n,t,6.14
4497,e,y,f,7.01
4498,e,w,f,4.6
4499,e,n,f,5.12
4500,e,n,f,5.75
4501,p,r,f,11.31
4502,p,n,f,4.4
4503,p,n,t,7.1
4504,e,g,f,5.68
4505,p,o,f,3.02
4506,e,n,f,7.16
4507,p,u,f,5.39
4508,p,n,f,4.49
4509,p,p,f,4.87
4510,p,g,f,10.44
4511,p,o,f,4.42
4512,e,k,f,4.02
4513,e,g,t,10.56
4514,e,n,f,5.62
4515,p,n,f,5.13
4516,e,n,f,5.74
4517,p,k,f,8.6
4518,p,e,f,5.61
4519,p,e,f,3.79
4520,e,n,f,5.88
4521,p,n,f,6.1
4522,p,w,f,2.85
4523,e,e,f,4.27
4524,p,n,f,4.39
4525,p,n,f,7.28
4526,p,n,f,6.04
4527,e,g,f,9.46
4528,p,r,t,5.63
4529,e,n,f,4.7
4530,e,n,f,5.25
4531,p,n,f,5.64
4532,e,r,f,6.1
4533,e,e,f,6.09
4534,p,e,f,8.26
4535,p,w,f,3.01
4536,p,e,f,5.67
4537,p,n,f,7.18
4538,e,n,t,9.65
4539,e,y,f,6.38
4540,p,p,f,4.41
4541,e,n,t,9.51
4542,p,e,f,7.65
4543,p,k,f,5.98
4544,p,k,f,6.68
4545,e,n,f,6.11
4546,e,n,t,9.81
4547,e,n,f,4.62
4548,e,k,f,4.58
4549,p,o,f,5.43
4550,p,y,t,9.3
4551,e,w,f,18.84
4552,p,n,f,4.85
4553,e,n,t,8.05
4554,p,e,f,7.67
4555,p,y,f,6.67
4556,e,u,f,8.15
4557,e,g,f,5.5
4558,p,r,f,11.03
4559,p,y,f,2.56
4560,e,g,f,6.07
4561,p,n,f,10.51
4562,p,n,t,3.93
4563,p,o,f,2.81
4564,p,u,f,6.38
4565,e,g,f,2.91
4566,e,u,f,4.76
4567,p,n,t,5.21
4568,e,w,f,4.61
4569,p,k,f,4.43
4570,e,n,f,7.07
4571,p,w,f,5.84
4572,p,w,f,3.22
4573,p,w,f,3.25
4574,e,u,f,5.77
4575,e,y,f,6.41
4576,p,n,f,3.86
4577,p,r,t,4.23
4578,p,n,f,10.52
4579,p,r,f,1.26
4580,p,w,f,6.92
4581,e,n,t,7.28
4582,p,n,f,10.55
4583,p,e,t,6.62
4584,e,e,f,5.3
4585,e,y,f,6.77
4586,p,p,f,3.98
4587,e,w,f,8.17
4588,p,n,f,6.05
4589,e,n,f,4.94
4590,p,y,t,6.05
4591,p,o,f,3.46
4592,p,y,f,5.44
4593,p,r,f,6.44
4594,p,p,f,5.18
4595,e,b,f,2.26
4596,e,w,t,5.46
4597,e,n,t,7.16
4598,e,n,f,6.04
4599,p,e,f,6.51
4600,p,n,f,10.8
4601,e,n,f,9.34
4602,p,w,t,6.07
4603,p,n,f,7.37
4604,e,b,f,4.68
4605,e,w,f,3.19
4606,e,y,f,5.91
4607,e,g,f,5.38
4608,p,y,f,5.21
4609,p,w,f,2.75
4610,e,p,f,6.12
4611,e,e,t,4.74
4612,e,n,f,4.64
4613,e,b,f,5.11
4614,e,n,f,6.52
4615,e,w,f,4.86
4616,e,n,f,4.7
4617,e,n,t,10.32
4618,e,n,f,6.72
4619,p,y,f,2.77
4620,p,u,f,4.72
4621,e,l,f,2.27
4622,p,n,f,4.99
4623,p,w,f,12.74
4624,e,o,f,5.92
4625,e,n,t,4.48
4626,p,n,f,5.25
4627,e,y,t,7.52
4628,p,w,f,3.84
4629,e,g,f,6.96
4630,e,n,f,6.75
4631,p,o,f,3.16
4632,e,n,f,7.09
4633,p,p,f,4.48
4634,p,e,f,3.42
4635,e,w,f,4.4
4636,e,n,f,7.11
4637,p,w,f,2.66
4638,p,k,t,6.22
4639,e,n,f,7.28
4640,e,n,f,5.23
4641,p,e,f,7.76
4642,e,y,f,5.54
4643,e,g,f,5.44
4644,e,b,f,5.12
4645,e,n,f,5.7
4646,e,n,t,8.37
4647,p,w,f,12.85
4648,p,n,f,6.01
4649,e,n,f,3.84
4650,e,g,f,3.41
4651,p,p,t,8.45
4652,p,n,f,5.26
4653,e,g,f,5.1
4654,p,w,t,8.63
4655,e,b,f,5.05
4656,e,y,f,5.95
4657,p,n,f,4.77
4658,p,y,f,5.84
4659,p,n,f,3.07
4660,p,e,f,7.72
4661,e,g,f,2.88
4662,e,n,f,6.4
4663,p,e,f,6.46
4664,p,o,f,3.22
4665,e,y,f,8.68
4666,e,n,t,8.78
4667,e,n,f,5.62
4668,e,y,f,6.17
4669,p,r,t,5.17
4670,p,e,t,5.05
4671,e,n,f,8.1
4672,e,w,f,7.99
4673,e,n,f,7.07
4674,p,n,f,4.73
4675,e,b,f,6.21
4676,p,g,t,4.91
4677,e,w,f,22.17
4678,p,o,f,4.53
4679,p,y,f,15.73
4680,p,w,f,17.59
4681,e,w,f,6.31
4682,p,o,f,2.92
4683,e,g,f,4.81
4684,p,y,f,5.98
4685,p,n,t,6.3
4686,p,l,f,6.44
4687,e,w,f,3.54
4688,p,e,f,7.86
4689,p,y,f,3.13
4690,e,y,f,7.18
4691,p,y,f,3.6
4692,p,o,f,3.55
4693,p,n,f,4.33
4694,p,o,f,3.2
4695,p,w,f,12.98
4696,e,n,t,4.12
4697,p,n,f,8.65
4698,p,e,f,4.43
4699,e,y,t,7.03
4700,e,y,f,8.65
4701,e,w,t,5.35
4702,e,n,f,5.97
4703,p,w,f,4.18
4704,p,r,f,11.39
4705,e,n,f,6.16
4706,p,n,f,1.41
4707,p,e,f,3.94
4708,e,n,f,6.43
4709,e,o,t,5.8
4710,e,n,f,4.53
4711,e,y,f,6.15
4712,p,n,f,8.27
4713,p,w,t,7.79
4714,p,n,t,7.24
4715,p,n,f,10.25
4716,p,n,f,2.95
4717,p,n,f,5.24
4718,p,n,f,4.09
4719,e,w,f,3.43
4720,e,g,f,5.44
4721,p,n,f,8.55
4722,p,n,f,7.09
4723,p,n,t,6.01
